,Character_1,Character_2,Win_Probability
1045,6439,1198,1
1046,2429,11244,-1
1047,8536,1537,1
1048,9522,34,1
1049,2836,34,0
1050,8713,34,-1
1051,5694,8713,1
1052,10998,8521,-1
1053,2617,11297,1
1054,2429,7836,-1
1055,7176,10143,-1
1056,7677,11597,1
1057,11422,10242,-1
1058,2537,11675,1
1059,267,2790,1
1060,3209,6827,-1
1061,6535,5670,0
1062,4713,5579,1
1063,10774,4314,1
1064,4314,6415,1
1065,1276,11422,-1
1066,7084,8949,1
1067,2568,4376,1
1068,3363,5271,-1
1069,11686,11655,-1
1070,8747,3281,-1
1071,6255,3281,-1
1072,6255,11690,-1
1073,5696,2215,1
1074,1206,10358,-1
1075,8225,10358,-1
1076,4274,7651,1
1077,5139,7012,-1
1078,1365,7958,1
1079,6438,3326,-1
1080,90,6984,1
1081,6386,10000,1
1082,5512,6386,-1
1083,2938,7747,-1
1084,6053,2991,-1
1085,11760,2991,-1
1086,7873,9212,1
1087,6536,1914,1
1088,8009,10762,-1
1089,10326,971,1
1090,6773,322,1
1091,2374,322,-1
1092,4276,1222,-1
1093,10263,5632,1
1094,5479,2167,1
1095,9290,2167,-1
1096,2104,90,1
1097,6438,625,-1
1098,8878,7737,1
1099,10774,7737,1
1100,10469,6503,-1
1101,10764,8500,-1
1102,11422,8695,-1
1103,448,1397,1
1104,12038,4188,-1
1105,11809,3332,1
1106,6838,11308,-1
1107,10165,11308,-1
1108,448,203,1
1109,10764,5594,1
1110,10365,5594,1
1111,1683,5594,1
1112,6719,5911,-1
1113,2527,3281,1
1114,8635,3281,1
1115,8320,6230,1
1116,5730,6230,1
1117,2082,1448,-1
1118,3208,9811,-1
1119,110,12062,-1
1120,4775,3605,1
1121,2657,3605,0
1122,2719,3605,-1
1123,1276,3605,1
1124,3605,3612,1
1125,6143,3605,-1
1126,3423,11760,1
1127,1062,5144,-1
1128,6687,11769,1
1129,1868,9283,1
1130,3402,2649,0
1131,3482,11691,1
1132,5623,4787,-1
1133,5623,7645,1
1134,3482,2603,-1
1135,5675,7323,1
1136,8455,1282,-1
1137,11259,3941,-1
1138,4270,3608,-1
1139,1282,5988,-1
1140,4787,3402,-1
1141,10597,8943,1
1142,11957,619,-1
1143,3129,2649,-1
1144,4690,322,-1
1145,6752,4457,-1
1146,3648,7747,-1
1147,2938,7747,-1
1148,1276,7747,-1
1149,5052,5537,0
1150,952,322,1
1151,11480,322,0
1152,10597,3288,1
1153,2787,8295,0
1154,3381,2787,-1
1155,321,2787,1
1156,6810,2457,-1
1157,10597,5751,1
1158,9227,6668,1
1159,2374,4241,-1
1160,5144,7878,0
1161,2075,5144,1
1162,8872,9285,-1
1163,2700,9285,0
1164,11643,9285,-1
1165,7032,9285,-1
1166,7878,9285,-1
1167,1124,7878,0
1168,5259,7878,0
1169,4276,9775,0
1170,5579,9775,-1
1171,6827,8455,1
1172,5632,5144,0
1173,5775,11643,1
1174,112,688,0
1175,688,5259,0
1176,11196,5632,-1
1177,6827,1282,1
1178,3423,6053,1
1179,6053,11760,1
1180,5632,4623,-1
1181,1062,7878,-1
1182,1124,9522,0
1183,11397,2167,1
1184,10263,7878,1
1185,3744,11679,1
1186,4623,7878,1
1187,4276,1282,-1
1188,7114,9290,-1
1189,1282,1222,1
1190,9567,7878,1
1191,5413,5255,0
1192,5632,7873,1
1193,5675,8088,0
1194,8117,5498,-1
1195,460,9859,-1
1196,2532,163,-1
1197,11422,11168,1
1198,11108,4795,-1
1199,1500,163,-1
1200,7913,4922,1
1201,365,7258,1
1202,2590,9025,-1
1203,2098,299,1
1204,10242,3261,1
1205,3203,253,-1
1206,6705,10568,-1
1207,10269,715,-1
1208,1178,7102,-1
1209,6244,548,-1
1210,6463,8518,1
1211,1161,11088,-1
1212,5427,3039,-1
1213,9167,7102,-1
